id,category1,category2,description,csvpath,webcontroller,aplcontroller,url,view,js,ajdust
INLAND_DOWNLOAD,B,,リスト中表示中の陸送依頼書をエクセルでダウンロード,params/inland_download.csv,BaseController@pass,InlandTransportController@getInvoiceDetail,inland/download,,,
SHIPPING_LIST,F,,リスト表示,,BaseController@pass,ShippingController@getList,shipping/list,,,
SHIPPING_LIST_DOWNLOAD,F,,リスト中のitemをエクセルダウンロード,,BaseController@download,-,shipping/list_download,,,
EXPORTING_UPDATE_MESSAGE,F,,カスタマメッセージの更新,,BaseController@pass,ExportingController@updateMessage,exporting/update_message,,,
SHIPPING_GET_SUB_DETAIL,F,,サブインボイス詳細の取得。モーダル表示,,BaseController@pass,ShippingController@getSubInvoiceDetail,shipping/get_sub_invoice,,,
SHIPPING_GET_C_PURCHASE_DETAIL,F,,カスタマパーチャス詳細の取得。モーダル表示,,BaseController@pass,ShippingController@getCustomerParchaseDetail,shipping/get_c_purchase,,,
SHIPPING_NOTYET_LIST,F,,リスト表示,,BaseController@pass,ShippingController@getList,shipping/notyet_list,,,
SHIPPING_NOTYET_LIST_DOWNLOAD,F,,リスト中のitemをエクセルダウンロード,,BaseController@download,-,shipping/notyet_list_download,,,
SHIPPING_BOOKED_LIST,F,,リスト表示,,BaseController@pass,ShippingController@getList,shipping/booked_list,,,
SHIPPING_BOOKED_LIST_DOWNLOAD,F,,リスト中のitemをエクセルダウンロード,,BaseController@download,-,shipping/booked_list_download,,,
SHIPPING_SHIPOUT_LIST,F,,リスト表示,,BaseController@pass,ShippingController@getList,shipping/shipout_list,,,
SHIPPING_SHIPOUT_LIST_DOWNLAOD,F,,リスト中のitemをエクセルダウンロード,,BaseController@download,-,shipping/shipout_list_downlaod,,,
SHIPPING_ETA_LIST,F,,リスト表示,,BaseController@pass,ShippingController@getList,shipping/eta_list,,,
SHIPPING_ETA_LIST_DOWNLOAD,F,,リスト中のitemをエクセルダウンロード,,BaseController@download,-,shipping/eta_list_download,,,
EXPORTING_ITEM_DETAIL,F,,iterm詳細画面の表示,,BaseController@pass,ShippingController@getDetail,exporting_item/detail,,,
EXPORTING_ITEM_PIC_DOWNLAOD,F,,itemの画像をzipにまとめてダウンロード,,PictureController@getZip,ExportingPictureController@getZippedItemPhotos,exporting_item/pic_downlaod,,,
