Type,name,type,need,description,description2,class,adjust
Title,航路の削除,,,,,,
Request,vesselId,int,○,船舶id,,,
Request,pod,int,○,荷卸港id,,,
Response,code,string,○,結果コード,,,
Response,messege,string,○,メッセージ,,,
Response,accessTime,string,○,アクセス時間：yyyy/mm/dd hh:ii:ss,,,
Description,,,,概要,,strong,
Description,,,,,船の航路を削除する,,
Description,,,,,（例）,,
Description,,,,,航路　日本->中国->アメリカの航路を持つ船があるとする,,
Description,,,,,そのうちの中国に寄航しない処理を行う。,,
Description,,,,,,,
Description,,,,制限,,strong,
Description,,,,,その航路に予約しているオーダーがある場合は削除できない。,,
Description,,,,,先に船の予約解除が必要,,
Description,,,,,（例）,,
Description,,,,,中国で降ろす商品があると中国によることを削除できない。,,
Description,,,,,,,
Description,,,,画面制御,,strong,
Description,,,,,処理が正常に行われ、削除が行われるとリストから消える。,,
