Type,name,type,need,description,description2,class,adjust
Title,船の登録・編集,,,,,,
Response,voy,,,航路名,,,
Request,capacity,int,○,船の容量,,,
Request,deckHigh,int,○,船のデッキ高さ,,,
Request,discharge,int,○,寄航国id,,,
Request,eta,string,○,到着予定日,,,
Request,loading,int,○,出航国id,,,
Request,message,string,○,Shippingメモ,,,
Request,mode,int,○,編集モード(0:新規作成 1:寄港先の追加 2:編集),,,
Request,pod,int,○,寄航港id,,,
Request,pol(N)_etd,string,○,出航予定日：Ｎは荷積み港の順番の数値1~4,,,
Request,pol(N)_pol,int,○,荷積み港id：Ｎは荷積み港の順番の数値1~4,,,
Request,pol(N)_space,int,○,空きスペース：Ｎは荷積み港の順番の数値1~4,,,
Request,pol(N)_lock,int,○,予約停止：Ｎは荷積み港の順番の数値1~4,,,
Response,ship,int,○,船会社id,,,
Response,type,int,○,船タイプid,,,
Response,vesselName,string,○,船名前,,,
Response,vessel_id,int,○,船id,,,
Response,code,string,○,結果コード,,,
Response,message,string,○,メッセージ,other項目以外のDescriptionは空白にすることができない,,
Response,accessTime,string,○,アクセス時間：yyyy/mm/dd hh:ii:ss,Insulanceはタイプ日選択でも計算することができる,,
Description,,,,・登録モード,,strong,
Description,,,,1:新規作成,,strong,
Description,,,,,航路を新規で追加するモード,,
Description,,,,,先にキー項目を入力し既存データと重複が無いか確認する,,
Description,,,,,Searchボタンを押し、既存がなければ内容を埋めていく,,
Description,,,,,キー項目はロックされる,,
Description,,,,2:寄港先の追加,,strong,
Description,,,,,寄港先、目的地を追加するモード,,
Description,,,,,先に、追加する航路を特定するためにキー項目を入力する,,
Description,,,,,既存データとキー項目が一致すると、寄港先を追加するモードとなり,,
Description,,,,,内容を埋めることができる,,
Description,,,,,キー項目はロックされる,,
Description,,,,3:編集,,strong,
Description,,,,,既存データを編集するモード,,
Description,,,,,船リストのEditボタンから遷移する,,
Description,,,,,各項目を編集することができる,,
Description,,,,,,,
Description,,,,・制限,,strong,
Description,,,,次の場合、編集を制限する,,,
Description,,,,,,,
Description,,,,,荷積み港での積み込み予約が入っている場合は荷積み港を変更・削除できない,,
Description,,,,,空きスペース数は使用済みスペースを下回るように修正できない,,
Description,,,,,各ＥＴＤはＥＴＡを超えて設定することができない,,
Description,,,,,ＥＴＡ，ＥＴＤの変更は修正日以降でなければならない,,
Description,,,,,修正日以降のＥＴＡ，ＥＴＤは変更することができない。,,
Description,,,,,（修正が必要な場合は当日を迎えるまでに修正する必要がある）,,
Description,,,,,,,
Description,,,,・ＥＴＡ，ＥＴＤの変更,,strong,
Description,,,,,ＥＴＡ，ＥＴＤが変更された場合は予約しているオーダー、SalesInvoiceにも反映をさせる,,
