Type,name,type,need,description,description2,class,adjust
Title,ShippingInstruction(船積み指示書)の登録,,,,,,
Request,exportingOrderId,int,○,輸出id,,,
Request,shipper,string,○,,,,
Request,consignee,string,○,,,,
Request,notify,string,○,,,,
Request,description,string,○,,,,
Request,attachment,string,,任意　なければ更新されない,,,
Response,code,string,○,結果コード,,,
Response,messege,string,○,メッセージ,,,
Response,accessTime,string,○,アクセス時間：yyyy/mm/dd hh:ii:ss,,,
Description,,,,仕様,strong,,
Description,,,,,shipper~descriptionが漏れなく入力されていれば、SIが準備できていると判断しステータスを変更する,,
Description,,,,,入力されたテキストに対して、1行あたりの文字数制限を行う。,,
Description,,,,,30文字を超えると改行コードを入れる,,
